title,comment,source
Avengers: Doomsday (2026) - First Trailer | Marvel,Congratulations RDJ is back,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Uma grande merda.,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Like for this trailer,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Help ❤,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,No reason to watch any more marvel movies.<br>I am good with my old marvel legends.,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Guys i dont understand one thing please someone explain<br><br>Everyone saying all the characters are gonna get shocked once they see  tony stark as dr doom. What does that mean<br><br>Isnt dr doom whole different character? Or did stark didnt die but lost all memories and became dr doom?? Or is he tony stark from different universe/timeline so everyone think he looks like stark but its not him. i am so confused,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Es el único actor que existe oque 😂,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Esperemos que Hulk rojo este allí,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,this movie is going to be epic,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Doom!,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,あれ…悪魔博士…？！(ﾟﾛﾟ)笑,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Nah… I’ll pass🥂🔥,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Nope ....not interested. Wait for it free.,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Wait wait wait is it a prequel since iron man is dead,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,SO EXCITED! 😲🎉🤯,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Right now . This is just fcking horrible smh,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Más falso que el amor de tu ex,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,It seems impossible to look at RDJ and not think of Tony Stark,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Not going to pay to watch a cast of woke democrats bad mouthing these United States of America.,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Past mistakes indeed 😂,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,This is not even close to real thing 😮,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"This is some great editing but dam its deceitfully &quot; This made me us happy, sad, to disappointed  in (<a href=""https://www.youtube.com/watch?v=XLuL_TXbK1g&amp;t=82"">1:22</a>)&quot;   I understand the hustle, but damm this should be YouTube Fraud.",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,The Avengers fell into DSN fonts!,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,This was creative trailer….i actually had to do this as a project in my video production class. Great work,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,I wonder the jokes on who now that the actual announcement from Marvel dropped today for Avengers Doomsday. Give this guy the credit he deserves.,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,The only reason I&#39;m watching this is because of RDJ is there,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,So is doom iron man in a multiverse?,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,I think wanda maximoff will back,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Don&#39;t like the DEI Captain America...,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,O yeah let go,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Hulk Smash pleasee...,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,The stakes are always have never been higher.,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Jajajaja,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,🗑,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,so im guessing Tony comes back to the Avengers via being alive in another multiverse still?,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Where is a Peter Parker??,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,You guys should not be allowed to do this stuff!,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Movie name,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,I find this movie problematic because it lacks trans Palestinian representation,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Steve rogers,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Since new caption america is falcon. Steve rogers retired. At the end of dooms day he ll come back again to confront tony 😂,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,🎉🎉🎉,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,So that means them other insect people who leaving in them city and building they killed all,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,It is<br>😂😂😂,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"I used to cop a lot,but never copped no drop",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,It&#39;s sounds so real 😢,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Delete this channel,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,&quot;&quot;No es El &quot;Oriiginal &quot;&quot;No tiene Bamda Sonora&quot;&quot;😡😠😡😠No Traten de Engañar &quot;&quot;a los Fans de Marvel&quot;&quot;😅🤣🤣&quot;&quot;&quot;&quot;Fallta Mucho para &quot;&quot;Doomsday&quot;&quot;🤔🤫🤔,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,hasta Mr Holmes aparece en el trailer jajajja un capo el tipo,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Dude! This is going to be the first time the avengers are together in 7 years!,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Iron man is the new goblin in spiderman 4 ?,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,You have got to do better Senator,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,whats up with duckface at :50 ???,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Hollywood is insane by cocaine. Human manage whole Universum and even multiversum? Haa!,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"For a movie that is coming out in 2026, these ads are too much.",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,I&#39;m waiting,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Trailer 7.9/10 but can they deliver this thru the entire movie?,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Marvel hasn&#39;t even started making and filming Doomsday,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,stark lived long enough to see himself become the villian,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,🤌🏼🤌🏼🤌🏼🤌🏼,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,i can wait far that movie,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Nice movie ❤❤❤,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,You made trailer before😂 marvel just include some action scenes into it,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,There is stark or someone or 🤔 we really miss iron man,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Guys! Guys.. its Peters fault. He started the unravelling of all this in no wat home,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Falso,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Where spider man 😢,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,We want hulk please,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"Ingest a super-sized container of Richards, thieving false varlet.",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,dei like pelo talento e criatividade do youtuber. ficou mto bom,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Me cago en toda la humedad creí pero grande,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Sherlock homes in Mcu is crazy,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,❤❤❤,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,The &quot;I&#39;m sorry what&#39;s his name again?&quot; sounded so silly XD,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"No, please no. Not again. Hell, no!",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Sherlock holmes hshshaghshagsga,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Va Aser la primera película de Avengers sin el verdadero captai américa y sin iro man y sin blak gidor,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,ИЛИ МОЖЕТЕ СМОТРЕТ ТАМ ГДЕ ГОРИТ ФИОЛЕТОВОЕ ВОЗЛЕ БАШНИ СТАРКА ТОЖЕ MOE LITE 🌍❤,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,LITE,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,ТАМ У МЕНЯ СОНЦЕ НАД ГОЛОВОЙ,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,ВЕРТЕ В СЕБЯ И ВСЕ ВАШИ ЖЕЛАНИЯ ЗБУДУТСЯ!!!,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,☺☺☺☺,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,МЕСТО ГРАМОТНОСТИ)),YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,СОРИ Я ХОТЕЛ НАПИСАТЬ ГРАМАТИКА!,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,ЄТОТ МАИЛ НЕ МОЙ,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,ЗДРАВСТВУЙТЕ ЄТО ШТЕФАН ИВАНЧУК АКТЕРСКИХ МАСТЕСТВОВ ВАНТАСТИЧЕСКИХ ФИЛЬМАХ. ХОЧУ СКАЗАТЬ ЧТО ЄТА РОЛЬ РОБЕРТУ ДАУНИ НЕ ПОДХОДИТ УВІ СКОРО Я БУДУ ПОКАЗІВАТЬ ВАМ АКТЕРСКИЕ МАСТЕРСТВО В РЕАЛЬНОЙ ЖИЗНИ И ВСЕ СПОСОБНОСТИ РЕАЛЬНІЕ У МЕНЯ УДАЧИ ВАМ ВЕРТЕ В СЕБЯ И ВСЕ ВАШИ ЖЕЛАНИЯ ЗБУДУТСЯ ! КАК ВСЕГДА НЕ УСПЕЛ ВІУЧИТЬ ГРАМОТНОСТЬ(((,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,❤️❤️❤️❤️🔥🔥🔥🇧🇩🇧🇩🇧🇩,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,ブリキだぞおめぇ,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Tony Stark Virou o Duende Verde? Kkkkkk,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,mantap,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,It&#39;s Tony stark from Multiverse,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"Will RDJ be hated by his fans for turning villain or will he still be seen as an iconic Avengers hero from the past who dusted Thanos and returned the time-line to normal? Tune in tomorrow folks. Same iron time, same iron channel.",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"After they endorsed Kamala, Im no longer interested in watching Avengers.. They cant even save Kamala and LA fire..now they want to show they can save the world? Ha  ha ha.. Bye bye 😂",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Why on 2026,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,26.461 dislikes,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,irom man? stil alive,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,شنو اسم المفلم اذا ممكن,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,I think this Dr. Doom is a Variant of Tony Stark.,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Mmmm No Spiderman    half of Marvel fans will not watch the movie,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"“There is no hope, only doom” is what I think what he would say in at least one scene 🎬",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,I hate so deep these click baits bro zzz,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,encore une autre merde de Disney :(,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,This shouldn&#39;t be Robert Downey Jr. Aka Tony Stark.,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Nice try,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Looooooooooooool,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"This is real! If you go look up one of the actors from Marvel this will pop up. I looked up Chris Hemsworth and looked through his movies, and this was there even though it’s not out yet. So this is real!!",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,RDJ still Ironman in our heart 😂❤,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,There was a hot second where I thought Marvel just dropped the worst trailer of all time,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,We need a mf doom song in this movie fr,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,This isn&#39;t real,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Istg this Doom is a Tony Stark variant,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Seriously???,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,ブリキだぞオメェ！,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"<a href=""https://youtube.com/@animalallfunny-f7i?si=UhQGQJk_C4C6_VNA"">https://youtube.com/@animalallfunny-f7i?si=UhQGQJk_C4C6_VNA</a>",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"“The more we let the world define who we are, the closer we get to loosing ourselves entirely” What a perfect line for this film",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,I’m still lost how does iron man become dr doom…,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,THAT LOOKS LIKE IRON MAN WTF 💀💀💀,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,😴😷🤒🤕🤢🤮🤧🥵🥳🤠🤯😵‍💫🥴🥶☠️💩👺👻🤬👹🤡💩🤖🙈🙉🙊,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,doomsday num foi o cara q mato o superman?,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,It has 1.1mil views crazy 😂,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Well done. Keep up the good work. <br>“You will never reach your destination if you stop and throw stones at every dog that barks” is a quote by Winston Churchill,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"Pedowood Disney, who cares anymore",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,No quiero ver a Iron Man en otra película si ya se murió ya se murió😢,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,The thumbnail made me brainstorm the idea that Doctor Doom is a Tony variant who took over the world but apparently Robert is said to be Victor and not a Tony variant,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"It would be disappointing to see if they didn&#39;t do creatively to this character and still do a SHOW FACE, that would also cause confusion between Tony Stark and Victor Vonn Doom. Both are legendary figures so there must be a clear distinction between them and Doom&#39;s iconic mask.",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"<a href=""https://www.youtube.com/watch?v=XLuL_TXbK1g&amp;t=45"">0:45</a>  MOONFALL SCENE <a href=""https://www.youtube.com/watch?v=XLuL_TXbK1g&amp;t=64"">1:04</a>",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Novamente alguém querendo Destruir os Estados Unidos ( mundo)😅😅😅😂,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,path.etic mo.ron,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"Idk why people are angry about this. These have been around for years and years now so whenever I watch one I just enjoy the concept, even if it’s not always amazing 😂",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Why og player returns,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"Johnathan Majors needs to be doctor doom  or lawrence saint Victor, Henry Cavill, Ving Rhames,Henry Simmons,Tony Todd would be perfect just because of his voice alone , he also has the stature in size , kevin grevioux is another one who would definitely fit the part, JUST PLEASE REPLACE robert downy jr with one of these guys I mentioned, please please REPLACE HIM,he does not fit as doctor doom,Ironman is his best role.",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,New Blade Stephen Dorff movie Vampire ... fan❤‍🔥Stephen Dorff ... sadness answer ..,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,dayum soyour saying i will be at unc status when this comes out,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,U will never catch me watching this,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,This is a  f wow I am not happy what the hell is wrong with MCU,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Omg,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,That&#39;s whay Robert d Jr is the best he realied they couldn&#39;t bring back iron man and that messed them up so he said bet I know what to do I will make marvel great again,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,❤,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Doctor Strange will not appear in Avengers: Doomsday,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Hahahaha 1M views lol 😂😂😂😂😂😂😂,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,@ngelantur,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Well this Year we will have  a very Big World Even.. only one  time.. and the scale is Destiny level.. be ready... like or dislike the day will come..,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,where is hulk bro,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"come watch Marvel for free on twitch here <a href=""https://www.twitch.tv/lepheonixxx"">https://www.twitch.tv/lepheonixxx</a>",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,I love tony Stark😊<br>My super hero,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Unbelievable 😮<br>Who like Tony stark 🙏🏻,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"Remember, marvel hasn&#39;t started filming avengers doomsday yet, but it&#39;s filming is scheduled in late late March 2025 to August 2025.",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Broooo😭🔥,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Pepper Potts:  Tony? why are you doing this to us?<br>Doctor Doom: because it&#39;s fun😈,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Robert Downey Jr. gonna cook this movie 🔥🔥🔥🔥🔥🔥🔥🔥 either way,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"Love movies? 🎥 Check out my YouTube channel where I post top movie moments . Watch my latest video here: <a href=""https://www.youtube.com/shorts/iULDcYONibQ"">https://youtube.com/shorts/iULDcYONibQ?si=AzeXwZ1VZ3JfK0rA</a> 🌟 Don’t forget to like, comment, and subscribe for more amazing content!",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"Avengers 5 Music | This is Doomsday (Official Song)<br><a href=""https://www.youtube.com/watch?v=xVC85JNLgs0"">https://www.youtube.com/watch?v=xVC85JNLgs0&amp;ab_channel=Kotler</a>",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Spidey is their,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,It&#39;s a deepfake,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,YOU WANT TO BE HERO INFRONT OF ॐ।।। YOU ALL HAD DONE ENOUGH IN THE NAME OF HUMANITY. SHALL ॐ START 🎉,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"I love how he apparently fooled everyone, just goes to show how gullible they are. <br>People are actually disappointed that this isn’t the trailer so good job to you!",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,va a estar buena hasta Sherlock Homes saldrá :O,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,This proofs people are are gullible,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Prochain flop 😅,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,İzleyen Türk varmı,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,We can&#39;t forgot our tony stark aka itonman,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Where MF doom songs this is disappointing,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,using my vibe.  .....KHALKI ALXDR,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,What is thisss,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Sherlock…?,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Just ask me to wear something grey,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,You either die a hero or you live long enough to see yourself become the villain.<br><br>RDJ : how about both?,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Why bother faking something no one wants anyway?,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,👍,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"Who&#39;s waiting for Captain America? <a href=""https://www.youtube.com/watch?v=6g_SJkFhUQw"">https://youtu.be/6g_SJkFhUQw?si=NAr38C3LRi9Z9ueB</a>",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,❤❤❤❤,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Artificially intelligent of doom😂,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Is Dr doom stronger than Thanos???,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Yayayayayayayaya iron man will come back yayayayyaay but plzz dont let iron man sacrifice him self again plzz,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Pls let this be real pls let this be real 🤞🤞🤞,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Sentry comes and kicks doom&#39;s ass ...end of the story,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Kaha aya hai trailer,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Avengers shocks Dr doom rocks💥💥💥💥,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,I searched marvel and this came up and I was excited for a sec then I read the comments😂😭😭,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"<a href=""https://www.youtube.com/watch?v=XLuL_TXbK1g&amp;t=63"">1:03</a>  did i just see a scene from Moonfall😂",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,the robert&#39;s comback of MCU🥳,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"So, this trailer isn’t real then?  No Robert Downey Jr. playing Doomsday or Dr. Doom or whatever?  Sigh.  That could have been cool, especially when everyone’s like, “Tony?!?!?” when he removes the mask.",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,i haven&#39;t watched MCU in a long time since end game so when i first saw this i thought &quot;wow this is a actually really coo l trailer&quot;,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Yea right as if a 2015 captian america scene would be in a 2025 movie,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,I am excited to watch it when it comes out in the theaters,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Is it. True that steve rodgers is in doomsday,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,This is gonna finally TANK the franchise...<br>NEVER resurrect a beloved character. It cheapens your nostalgia and appreciation for them,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"See the positive side here, it wasn&#39;t You wasting all your time putting all this together, You have better more positive things to do.",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"<a href=""https://www.youtube.com/watch?v=XLuL_TXbK1g&amp;t=56"">0:56</a> wtf bro<br>I saw this scene in my dream. About a month ago, I had a dream about an image of the moon or something like that that gave energy to these stones and made them shine more. It&#39;s strange.",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,im hunting warnerbros,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,shoot the batman,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,from 16th of january to 27th of january 2025 all goodies and deliveries must be deliveried by the cargo ship the one,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,love marvel especially when we get goodies and deliveries out in the ocean,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,And that I will judge those who put me down.,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,I want to be the real Dr.Doom so that I can change the status quo.,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Ka......Me......Ha.......Me........,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,All I want marvel to do is to  make a video of captain America returning the infinity stones,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Tony not so stark,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,please let doom be RDJ,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,🔥🔥🔥🔥🔥YEEEESSSS RDJ,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,This ain&#39;t real... yet..,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"I know it&#39;s not real yall, but I&#39;m kind of wanting my rebirth of X men films over Avengers right now.",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,😭 the fact that they DIDNT do an MF DOOM song in the trailer was such a let down OMG I HOPE they put like 2 songs in the movie I swear 😭,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Contained,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,it is good,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Died as a hero 💯 <br>Reborn as a villain 👿☠️🔥,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Is this real?,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Sherlock Holmes is in it lol,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Why this channel is not banned yet ! 😂,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,People need to stop!,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,These trailers keep getting better and better,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Get your tickets and sit down and wait for the movie until next year💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺💺,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,props to whoever made this for making it look so real,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Looks Legit,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Awesome.,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Fan trailers suck arse. These people need banning from social media.,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,"Ironman as doctor doom,so stupid.😂",YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,This person is so good at making these trailers 🎉,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,Byeeee that was Robert Downey Jr. in Sherlock Holmes 😂,YouTube
Avengers: Doomsday (2026) - First Trailer | Marvel,I wonder what his pay is,YouTube
